TYPE,INDICATOR,DESCRIPTION,CONTRIBUTOR
domain,account.refog.com,stalkerware,@ch33r10
domain,alltracker.org,stalkerware,@ch33r10
domain,appmia.com,stalkerware,@ch33r10
domain,calltruth.com,stalkerware,@ch33r10
domain,cellmonitoring.net,stalkerware,@ch33r10
domain,celltrackingapps.com,stalkerware,@ch33r10
domain,famisafe.wondershare.jp,stalkerware,@ch33r10
domain,hellospy.com,stalkerware,@ch33r10
domain,highstermobile.com,stalkerware,@ch33r10
domain,hoverwatch.com,stalkerware,@ch33r10
domain,ikeymonitor.com,stalkerware,@ch33r10
domain,letmespy.com,stalkerware,@ch33r10
domain,mobiespy.com,stalkerware,@ch33r10
domain,mobile-spy.com,stalkerware,@ch33r10
domain,mobispy.net,stalkerware,@ch33r10
domain,mobistealth.com,stalkerware,@ch33r10
domain,mspy.com,stalkerware,@ch33r10
domain,onelocator.com,stalkerware,@ch33r10
domain,onexsoftech.com,stalkerware,@ch33r10
domain,prospybubble.com,stalkerware,@ch33r10
domain,protocol-a.thetruthspy.com,stalkerware,@ch33r10
domain,protocol-a732.thetruthspy.com,stalkerware,@ch33r10
domain,spappmonitoring.com,stalkerware,@ch33r10
domain,spyfone.com,stalkerware,@ch33r10
domain,spymasterpro.com,stalkerware,@ch33r10
domain,theonespy.com,stalkerware,@ch33r10
domain,xnspy.com,stalkerware,@ch33r10
domain,a.thd.cc,stalkerware,@citizenlab
domain,cerberusapp.com,stalkerware,@citizenlab
domain,flexispy.com,stalkerware,@citizenlab
domain,mspyonline.com,stalkerware,@citizenlab
domain,thetruthspy.com,stalkerware,@citizenlab
domain,cocospy.com,stalkerware,@malwrhunterteam
domain,i.minspy.com,stalkerware,@midnight_comms
domain,i.spyic.com,stalkerware,@midnight_comms
domain,i.spyier.com,stalkerware,@midnight_comms
domain,i.spyine.com,stalkerware,@midnight_comms
domain,sp.kuuvv.com,stalkerware,@midnight_comms
domain,account.logger.mobi,stalkerware,@nscrutables
domain,actualkeylogger.com,stalkerware,@nscrutables
domain,apispyhuman.com,stalkerware,@nscrutables
domain,appspy.net,stalkerware,@nscrutables
domain,catwatchful.com,stalkerware,@nscrutables
domain,fireworld-inc.com,stalkerware,@nscrutables
domain,freeandroidspy.com,stalkerware,@nscrutables
domain,guestspy.com,stalkerware,@nscrutables
domain,i.clickfree.com,stalkerware,@nscrutables
domain,i.neatspy.com,stalkerware,@nscrutables
domain,iwantsoft.com,stalkerware,@nscrutables
domain,logger.mobi,stalkerware,@nscrutables
domain,netspy.net,stalkerware,@nscrutables
domain,protocol-a60.guestspy.com,stalkerware,@nscrutables
domain,refog.com,stalkerware,@nscrutables
domain,reptilicus.net,stalkerware,@nscrutables
domain,shadow-logs.com,stalkerware,@nscrutables
domain,snoopza.com,stalkerware,@nscrutables
domain,spy-datacenter.com,stalkerware,@nscrutables
domain,spy2mobile.com,stalkerware,@nscrutables
domain,spyera.com,stalkerware,@nscrutables
domain,spyrix.com,stalkerware,@nscrutables
domain,spytech-web.com,stalkerware,@nscrutables
domain,spytector.com,stalkerware,@nscrutables
domain,staffcop.com,stalkerware,@nscrutables
domain,surveilstar.com,stalkerware,@nscrutables
domain,tchsrvce.com,stalkerware,@nscrutables
domain,trackmyphones.com,stalkerware,@nscrutables
domain,wisemo.com,stalkerware,@nscrutables
domain,xnore.com,stalkerware,@nscrutables
ip,206.225.81.207,thetruthspy.com,@ch33r10
ip,69.64.85.227,thetruthspy.com,@ch33r10
ip,69.64.91.29,protocol-a732.thetruthspy.com,@ch33r10
ip,172.67.203.78,i.spyine.com,@midnight_comms
ip,39.108.91.228,kuuvv.com,@midnight_comms
md5,0ca8e3dd834e95b2161e0b7531a0885a,TheTruthMonitor.apk,@ch33r10
md5,228809f0055a7b4f25eb82f258f64b0d,AndroidMonitor_1.0.12.apk,@ch33r10
md5,2a1690dd171974ca7ecebb115638f15e,SpyMob_01234_107.apk,@ch33r10
md5,6004577cd3d5f38bea72740dae5a4182,MSpyAndroidApp-v5.6.0-555.apk,@ch33r10
md5,62227f058e9d03d5d979db7bdf4cf85b,RemoteCellTracker_2.apk,@ch33r10
md5,64295373e6057c35977b4f0d2a780b50,TheTruthSpy.apk,@ch33r10
md5,786fbdcde0450071f30623fc3861a7b4,271268714.apk,@ch33r10
md5,b72253cf2b85107ca4db2746de3d63ef,talklog.apk,@ch33r10
md5,bf9dfab5efa961cb50f5c825d9596b5a,app-release.apk,@ch33r10
